20210901080007,1008,바닐라아메리카노,3000,1,0,
20210901080011,1009,꿀아메리카노,3000,5,0,1005
20210901080056,1008,바닐라아메리카노,3000,4,0,
20210901080202,1009,꿀아메리카노,3000,3,0,1001
20210901080231,1005,카푸치노,2700,4,0,1003
20210901080633,1009,꿀아메리카노,3000,5,0,
20210901080637,1002,헤이즐넛,2500,5,10,1004
20210901080930,1008,바닐라아메리카노,3000,1,0,1004
20210901081141,1005,카푸치노,2700,2,0,
20210902081438,1005,카푸치노,2700,2,0,1003
20210902081603,1008,바닐라아메리카노,3000,5,0,1004
20210902081725,1003,바닐라아메리카노,2500,2,0,
20210902081748,1004,꿀아메리카노,2500,2,0,1001
20210903081834,1002,헤이즐넛,2500,1,10,1001
20210903082116,1009,꿀아메리카노,3000,1,0,
20210904082419,1008,바닐라아메리카노,3000,1,0,1001
20210904082641,1005,카푸치노,2700,3,0,
20210904082900,1007,헤이즐넛,3000,2,10,1004
20210904083746,1007,헤이즐넛,3000,5,10,1003
20210905084121,1005,카푸치노,2700,2,0,
20210905084427,1001,아메리카노,2000,1,10,
20210905084556,1002,헤이즐넛,2500,1,10,
20210906085123,1005,카푸치노,2700,5,0,1005
20210906090011,1006,아메리카노,2500,3,10,1004
20210906090146,1007,헤이즐넛,3000,1,10,
20210907090259,1005,카푸치노,2700,5,0,1002
20210907090416,1005,카푸치노,2700,5,0,1002
20210907090607,1006,아메리카노,2500,4,10,1005
20210907090915,1005,카푸치노,2700,5,0,
20210907091035,1003,바닐라아메리카노,2500,3,0,1002
20210908091057,1002,헤이즐넛,2500,5,10,1004
20210908091155,1007,헤이즐넛,3000,1,10,
20210908091713,1004,꿀아메리카노,2500,5,0,1003
20210908091943,1009,꿀아메리카노,3000,2,0,
20210909091953,1002,헤이즐넛,2500,5,10,1005
20210909092036,1006,아메리카노,2500,4,10,
20210909092115,1009,꿀아메리카노,3000,3,0,1002
20210910092407,1009,꿀아메리카노,3000,3,0,1001
20210910092448,1005,카푸치노,2700,1,0,1003
20210910092703,1007,헤이즐넛,3000,3,10,
20210910092756,1002,헤이즐넛,2500,1,10,1005
20210910093107,1004,꿀아메리카노,2500,3,0,
20210910093349,1009,꿀아메리카노,3000,1,0,
20210911093354,1006,아메리카노,2500,4,10,1005
20210911093502,1007,헤이즐넛,3000,4,10,1004
20210911093535,1004,꿀아메리카노,2500,1,0,
20210911093602,1008,바닐라아메리카노,3000,4,0,1005
20210911093609,1001,아메리카노,2000,5,10,1002
20210912093755,1002,헤이즐넛,2500,4,10,
20210913094034,1005,카푸치노,2700,2,0,
20210913094335,1004,꿀아메리카노,2500,1,0,1001
20210913094434,1006,아메리카노,2500,5,10,
20210914094614,1001,아메리카노,2000,2,10,1002
20210914094800,1009,꿀아메리카노,3000,1,0,1004
20210914094926,1004,꿀아메리카노,2500,1,0,
20210914095241,1008,바닐라아메리카노,3000,5,0,1005
20210914095430,1001,아메리카노,2000,2,10,
20210914095735,1004,꿀아메리카노,2500,5,0,1001
20210914095834,1002,헤이즐넛,2500,3,10,
20210915100128,1004,꿀아메리카노,2500,2,0,1001
20210915100303,1005,카푸치노,2700,2,0,1001
20210916100311,1009,꿀아메리카노,3000,2,0,
20210916100417,1003,바닐라아메리카노,2500,4,0,1001
20210916100533,1002,헤이즐넛,2500,1,10,1005
